Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,45,,cz,[],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 7))",1354.218239173585,2,1770089655.8053586,7206.407985448837,16,1354.218239173585,0.0,0.0
Replace,46,,cx,[],"(Qubit(QuantumRegister(10, 'q'), 7), Qubit(QuantumRegister(10, 'q'), 4))",1354.218239173585,16,1770090126.8775356,7206.407985448837,16,1354.218239173585,0.0,0.0
Add,23,cz,csx,[],"(Qubit(QuantumRegister(10, 'q'), 3), Qubit(QuantumRegister(10, 'q'), 8))",1608.3054105806916,10,1770089812.9847362,7206.407985448837,16,1354.218239173585,-254.08717140710655,-18.7626457875921
Replace,18,cz,cz,[],"(Qubit(QuantumRegister(10, 'q'), 8), Qubit(QuantumRegister(10, 'q'), 5))",1666.4915707929201,3,1770089656.9086394,7206.407985448837,16,1354.218239173585,-312.27333161933507,-23.05930629097867
Replace,4,ry,sx,[],"(Qubit(QuantumRegister(10, 'q'), 4),)",1671.5889437346116,1,1770089654.7022858,7206.407985448837,16,1354.218239173585,-317.3707045610265,-23.435713342238156
Replace,7,ry,csx,[],"(Qubit(QuantumRegister(10, 'q'), 7), Qubit(QuantumRegister(10, 'q'), 1))",1755.0440362297063,5,1770089669.4779353,7206.407985448837,16,1354.218239173585,-400.82579705612125,-29.598316243379365
Add,9,x,ch,[],"(Qubit(QuantumRegister(10, 'q'), 2), Qubit(QuantumRegister(10, 'q'), 4))",1787.206118308647,11,1770089829.061481,7206.407985448837,16,1354.218239173585,-432.98787913506203,-31.973271856041013
Replace,8,ry,csx,[],"(Qubit(QuantumRegister(10, 'q'), 7), Qubit(QuantumRegister(10, 'q'), 6))",1812.2138151655752,7,1770089672.0256815,7206.407985448837,16,1354.218239173585,-457.9955759919901,-33.81992375700707
Replace,14,cz,csx,[],"(Qubit(QuantumRegister(10, 'q'), 9), Qubit(QuantumRegister(10, 'q'), 8))",1861.7624988242699,6,1770089670.8405428,7206.407985448837,16,1354.218239173585,-507.5442596506848,-37.47876412892023
Replace,13,ry,cz,[],"(Qubit(QuantumRegister(10, 'q'), 8), Qubit(QuantumRegister(10, 'q'), 6))",1877.2123252775457,9,1770089809.696573,7206.407985448837,16,1354.218239173585,-522.9940861039606,-38.61963094095668
Replace,35,cx,csx,[],"(Qubit(QuantumRegister(10, 'q'), 4), Qubit(QuantumRegister(10, 'q'), 0))",1995.5524807282704,15,1770089986.6013024,7206.407985448837,16,1354.218239173585,-641.3342415546854,-47.35826346173429
Add,47,,y,[],"(Qubit(QuantumRegister(10, 'q'), 9),)",2013.1707522819188,14,1770089975.2176988,7206.407985448837,16,1354.218239173585,-658.9525131083337,-48.659255506000356
Replace,33,cx,cz,[],"(Qubit(QuantumRegister(10, 'q'), 8), Qubit(QuantumRegister(10, 'q'), 7))",2017.898581852218,13,1770089941.315554,7206.407985448837,16,1354.218239173585,-663.680342678633,-49.008374239860004
Replace,8,ry,ch,[],"(Qubit(QuantumRegister(10, 'q'), 7), Qubit(QuantumRegister(10, 'q'), 9))",2021.7455533784955,12,1770089830.2101805,7206.407985448837,16,1354.218239173585,-667.5273142049105,-49.29244747229742
Replace,28,ry,swap,[],"(Qubit(QuantumRegister(10, 'q'), 1), Qubit(QuantumRegister(10, 'q'), 0))",2041.1366269982166,4,1770089658.4997928,7206.407985448837,16,1354.218239173585,-686.9183878246315,-50.72434914507022
Replace,12,cz,swap,[],"(Qubit(QuantumRegister(10, 'q'), 3), Qubit(QuantumRegister(10, 'q'), 9))",2142.8946447230537,8,1770089798.629955,7206.407985448837,16,1354.218239173585,-788.6764055494687,-58.23850120574069
