Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,44,,csx,[],"(Qubit(QuantumRegister(10, 'q'), 9), Qubit(QuantumRegister(10, 'q'), 6))",1194.3448182441152,2,1770106113.9417615,7206.27996301651,11,1194.3448182441152,0.0,0.0
Replace,40,,cz,[],"(Qubit(QuantumRegister(10, 'q'), 5), Qubit(QuantumRegister(10, 'q'), 6))",1194.3448182441152,11,1770106836.0431037,7206.27996301651,11,1194.3448182441152,0.0,0.0
Add,12,ry,csx,[],"(Qubit(QuantumRegister(10, 'q'), 9), Qubit(QuantumRegister(10, 'q'), 4))",1268.504760598131,6,1770106247.0930543,7206.27996301651,11,1194.3448182441152,-74.15994235401581,-6.209257261486948
Add,10,ry,x,[],"(Qubit(QuantumRegister(10, 'q'), 2),)",1585.3423273771634,8,1770106483.0413685,7206.27996301651,11,1194.3448182441152,-390.9975091330482,-32.7374057441702
Add,16,ry,z,[],"(Qubit(QuantumRegister(10, 'q'), 0),)",1762.7368112186657,10,1770106719.0281432,7206.27996301651,11,1194.3448182441152,-568.3919929745505,-47.59027579741845
Replace,4,ry,cz,[],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 7))",1866.8000398787908,3,1770106114.9757454,7206.27996301651,11,1194.3448182441152,-672.4552216346756,-56.303272837344934
Replace,5,ry,cz,[],"(Qubit(QuantumRegister(10, 'q'), 9), Qubit(QuantumRegister(10, 'q'), 0))",1884.4266911629345,1,1770106112.6499918,7206.27996301651,11,1194.3448182441152,-690.0818729188193,-57.77911557680252
Replace,33,cx,cz,[],"(Qubit(QuantumRegister(10, 'q'), 7), Qubit(QuantumRegister(10, 'q'), 2))",1972.1247767387204,4,1770106116.4864268,7206.27996301651,11,1194.3448182441152,-777.7799584946051,-65.1218933270938
Replace,27,cx,ch,[],"(Qubit(QuantumRegister(10, 'q'), 3), Qubit(QuantumRegister(10, 'q'), 7))",2070.255978125544,5,1770106130.4086962,7206.27996301651,11,1194.3448182441152,-875.9111598814288,-73.33821409876951
Replace,10,ry,cz,[],"(Qubit(QuantumRegister(10, 'q'), 8), Qubit(QuantumRegister(10, 'q'), 6))",2107.3554122219707,9,1770106599.2946997,7206.27996301651,11,1194.3448182441152,-913.0105939778555,-76.44447231915254
Replace,12,ry,z,[],"(Qubit(QuantumRegister(10, 'q'), 3),)",2164.58780504781,7,1770106364.7026598,7206.27996301651,11,1194.3448182441152,-970.2429868036947,-81.23642117274915
