Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,40,,cy,[],"(Qubit(QuantumRegister(10, 'q'), 4), Qubit(QuantumRegister(10, 'q'), 2))",1502.0611792611353,1,1770122840.359009,7207.337100505829,12,1502.0611792611353,0.0,0.0
Add,22,cz,cx,[],"(Qubit(QuantumRegister(10, 'q'), 7), Qubit(QuantumRegister(10, 'q'), 2))",1627.5640145495133,11,1770123225.8670292,7207.337100505829,12,1502.0611792611353,-125.50283528837804,-8.355374402932972
Add,12,cz,csx,[],"(Qubit(QuantumRegister(10, 'q'), 4), Qubit(QuantumRegister(10, 'q'), 7))",1629.2567423187759,3,1770122858.0768552,7207.337100505829,12,1502.0611792611353,-127.19556305764058,-8.468068066322582
Replace,13,ry,sx,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",1715.4601750131083,7,1770122968.6407628,7207.337100505829,12,1502.0611792611353,-213.39899575197296,-14.20707749446957
Replace,3,ry,s,[],"(Qubit(QuantumRegister(10, 'q'), 9),)",1719.9639350600512,2,1770122844.0979247,7207.337100505829,12,1502.0611792611353,-217.9027557989159,-14.506916150119956
Replace,2,ry,ch,[],"(Qubit(QuantumRegister(10, 'q'), 9), Qubit(QuantumRegister(10, 'q'), 3))",1839.2055907676029,6,1770122861.3151965,7207.337100505829,12,1502.0611792611353,-337.1444115064676,-22.44545136785368
Add,41,,ch,[],"(Qubit(QuantumRegister(10, 'q'), 1), Qubit(QuantumRegister(10, 'q'), 9))",1852.6835723793283,4,1770122859.1813862,7207.337100505829,12,1502.0611792611353,-350.62239311819303,-23.3427504790893
Add,10,cz,ch,[],"(Qubit(QuantumRegister(10, 'q'), 2), Qubit(QuantumRegister(10, 'q'), 7))",1865.8200291227242,9,1770123005.677699,7207.337100505829,12,1502.0611792611353,-363.75884986158894,-24.217312509236283
Add,22,cz,cx,[],"(Qubit(QuantumRegister(10, 'q'), 6), Qubit(QuantumRegister(10, 'q'), 4))",1869.1740907318497,10,1770123096.596783,7207.337100505829,12,1502.0611792611353,-367.1129114707144,-24.44060977937646
Add,17,ry,ch,[],"(Qubit(QuantumRegister(10, 'q'), 5), Qubit(QuantumRegister(10, 'q'), 7))",1884.9879783013355,8,1770123004.583922,7207.337100505829,12,1502.0611792611353,-382.9267990402002,-25.493422260507533
Replace,29,cx,csx,[],"(Qubit(QuantumRegister(10, 'q'), 8), Qubit(QuantumRegister(10, 'q'), 2))",1903.9083204382396,12,1770123371.242166,7207.337100505829,12,1502.0611792611353,-401.8471411771043,-26.753047527316635
Replace,28,cx,csx,[],"(Qubit(QuantumRegister(10, 'q'), 5), Qubit(QuantumRegister(10, 'q'), 8))",1949.642013118056,5,1770122860.1732771,7207.337100505829,12,1502.0611792611353,-447.58083385692066,-29.797776551091342
